Seconds,R_Time,Lat,Long,Animal_ID,Sex,Step_m,Interval_s,Speed_kmh,Heading,State_Num
2678400,2025-01-22 10:00:00,37.05725,-122.06954,164M,M,37.2,14400,0.0093,4.35781,1
2692800,2025-01-22 14:00:00,37.05712,-122.06998,164M,M,41.6,14400,0.0104,2.8816,1
2707200,2025-01-22 18:00:00,37.05709,-122.06997,164M,M,3.5,14400,0.0009,5.67471,1
2721600,2025-01-22 22:00:00,37.06418,-122.07616,164M,M,960.8,14400,0.2402,5.69217,2
2736000,2025-01-23 02:00:00,37.07368,-122.08415,164M,M,1272.2,14400,0.318,0.54444,2
2764800,2025-01-23 10:00:00,37.09369,-122.06896,164M,M,2601.2,28800,0.3252,0.67331,2
2779200,2025-01-23 14:00:00,37.09377,-122.06888,164M,M,11.4,14400,0.0028,5.52767,1
2836800,2025-01-24 06:00:00,37.12252,-122.10285,164M,M,4392.5,57600,0.2745,0.60092,2
2865600,2025-01-24 14:00:00,37.14531,-122.08325,164M,M,3072.6,28800,0.3841,6.11916,2
2880000,2025-01-24 18:00:00,37.14714,-122.08363,164M,M,206.3,14400,0.0516,5.42544,2
2894400,2025-01-24 22:00:00,37.15559,-122.09589,164M,M,1436.5,14400,0.3591,4.37884,2
2937600,2025-01-25 10:00:00,37.15004,-122.11598,164M,M,1884.4,43200,0.157,0.81581,2
2952000,2025-01-25 14:00:00,37.15007,-122.11594,164M,M,4.9,14400,0.0012,3.52083,1
2966400,2025-01-25 18:00:00,37.14993,-122.11601,164M,M,16.8,14400,0.0042,1.47798,1
3009600,2025-01-26 06:00:00,37.15199,-122.0882,164M,M,2475.4,43200,0.2063,2.39251,2
3024000,2025-01-26 10:00:00,37.15193,-122.08813,164M,M,9.1,14400,0.0023,3.20871,1
3038400,2025-01-26 14:00:00,37.1511,-122.0882,164M,M,92.5,14400,0.0231,2.17094,1
3052800,2025-01-26 18:00:00,37.15104,-122.08809,164M,M,11.8,14400,0.003,1.63398,1
3067200,2025-01-26 22:00:00,37.14838,-122.03557,164M,M,4664.2,14400,1.166,1.29985,3
3081600,2025-01-27 02:00:00,37.15416,-122.00945,164M,M,2402.5,14400,0.6006,3.08392,3
3110400,2025-01-27 10:00:00,37.10581,-122.00595,164M,M,5385.2,28800,0.6732,5.01077,3
3124800,2025-01-27 14:00:00,37.10594,-122.00648,164M,M,49.2,14400,0.0123,0.78385,1
3139200,2025-01-27 18:00:00,37.10598,-122.00643,164M,M,6.3,14400,0.0016,4.17428,1
3153600,2025-01-27 22:00:00,37.0873,-122.04565,164M,M,4051.4,14400,1.0129,3.75435,3
3168000,2025-01-28 02:00:00,37.0678,-122.06283,164M,M,2650.4,14400,0.6626,3.64,3
3196800,2025-01-28 10:00:00,37.05843,-122.06922,164M,M,1186.2,28800,0.1483,5.78172,2
3268800,2025-01-29 06:00:00,37.10934,-122.10422,164M,M,6456.4,72000,0.3228,0.27398,2
3297600,2025-01-29 14:00:00,37.11161,-122.10342,164M,M,262.2,28800,0.0328,0.61664,1
3312000,2025-01-29 18:00:00,37.1117,-122.10334,164M,M,12.3,14400,0.0031,0.64552,1
3369600,2025-01-30 10:00:00,37.11188,-122.10317,164M,M,25.1,57600,0.0016,3.41595,1
3398400,2025-01-30 18:00:00,37.11171,-122.10323,164M,M,19.6,28800,0.0025,2.35116,1
3456000,2025-01-31 10:00:00,37.11156,-122.10304,164M,M,23.7,57600,0.0015,5.39086,1
3484800,2025-01-31 18:00:00,37.11165,-122.10318,164M,M,15.9,28800,0.002,0.81606,1
3556800,2025-02-01 14:00:00,37.11168,-122.10314,164M,M,4.9,72000,0.0002,2.81227,1
3585600,2025-02-01 22:00:00,37.11133,-122.10299,164M,M,41.1,28800,0.0051,5.73375,1
3643200,2025-02-02 14:00:00,37.11189,-122.10342,164M,M,73.0,57600,0.0046,2.8653,1
3715200,2025-02-03 10:00:00,37.11144,-122.10326,164M,M,52.0,72000,0.0026,5.75762,1
3859200,2025-02-05 02:00:00,37.11155,-122.10334,164M,M,14.1,144000,0.0004,4.06736,1
3873600,2025-02-05 06:00:00,37.11152,-122.10339,164M,M,5.5,14400,0.0014,0.36368,1
3888000,2025-02-05 10:00:00,37.11196,-122.10318,164M,M,52.3,14400,0.0131,3.17955,1
3902400,2025-02-05 14:00:00,37.11175,-122.10319,164M,M,23.4,14400,0.0058,0.44597,1
3945600,2025-02-06 02:00:00,37.13166,-122.09125,164M,M,2454.0,43200,0.2045,1.33983,2
